Language,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster,DBSCAN_Cluster
Turkish,0,1,2,-1
Marathi,3,0,0,-1
Thai,3,0,3,-1
Uzbek,0,1,4,-1
Sanskrit,0,1,0,-1
Punjabi,4,4,4,-1
Korean,3,0,0,-1
Russian,2,2,1,-1
Arabic,1,3,3,-1
Mandarin,3,0,0,-1
Sindhi,3,0,0,-1
Malayalam,0,1,4,-1
Vietnamese,3,0,3,-1
Portugal,2,2,1,-1
Hindi,4,4,4,-1
Telugu,3,0,0,-1
English,2,2,1,-1
Romanian,3,0,0,-1
Japanese,4,4,4,-1
Finnish,0,2,1,-1
Tamil,0,1,4,-1
Indonesian,2,0,3,-1
Swedish,2,2,1,-1
German,2,2,1,-1
Spanish,2,2,1,-1
French,2,2,1,-1
Kazakh,0,1,4,-1
